video_path,reference_path,method,is_fake,c_lip_sync,c_blinking,c_facial_boundary,c_texture,c_identity,c_lighting
FaceForensics/original/000.mp4,FaceForensics/original/000.mp4,original,0,0.0,0.0,0.0,0.0,0.0,0.0
FaceForensics/Deepfakes/000_003.mp4,FaceForensics/original/000.mp4,deepfakes,1,0.1547,0.0786,0.0803,0.087,0.063,0.0571
FaceForensics/Face2Face/000_003.mp4,FaceForensics/original/000.mp4,face2face,1,0.059,0.0,0.0,0.0,0.0,0.0
FaceForensics/FaceShifter/000_003.mp4,FaceForensics/original/000.mp4,faceshifter,1,0.2592,0.1596,0.0885,0.1102,0.0974,0.096
FaceForensics/FaceSwap/000_003.mp4,FaceForensics/original/000.mp4,faceswap,1,0.4108,0.2573,0.0476,0.094,0.042,0.0546
FaceForensics/NeuralTextures/000_003.mp4,FaceForensics/original/000.mp4,neuraltextures,1,0.053,0.0,0.0,0.0,0.0,0.0
FaceForensics/original/001.mp4,FaceForensics/original/001.mp4,original,0,0.0,0.0,0.0,0.0,0.0,0.0
FaceForensics/Deepfakes/001_870.mp4,FaceForensics/original/001.mp4,deepfakes,1,0.0537,0.0608,0.0,0.0761,0.0939,0.0
FaceForensics/Face2Face/001_870.mp4,FaceForensics/original/001.mp4,face2face,1,0.0,0.0,0.0661,0.068,0.0,0.0407
FaceForensics/FaceShifter/001_870.mp4,FaceForensics/original/001.mp4,faceshifter,1,0.0698,0.0,0.0517,0.0,0.0,0.0
FaceForensics/FaceSwap/001_870.mp4,FaceForensics/original/001.mp4,faceswap,1,0.0546,0.0573,0.0401,0.0,0.0,0.0
FaceForensics/NeuralTextures/001_870.mp4,FaceForensics/original/001.mp4,neuraltextures,1,0.0,0.0,0.0,0.0494,0.0,0.0
FaceForensics/original/002.mp4,FaceForensics/original/002.mp4,original,0,0.0,0.0,0.0,0.0,0.0,0.0
FaceForensics/Deepfakes/002_006.mp4,FaceForensics/original/002.mp4,deepfakes,1,0.0,0.0,0.0,0.0504,0.0413,0.0
FaceForensics/Face2Face/002_006.mp4,FaceForensics/original/002.mp4,face2face,1,0.0507,0.0418,0.0416,0.0,0.0,0.0
FaceForensics/FaceShifter/002_006.mp4,FaceForensics/original/002.mp4,faceshifter,1,0.0,0.0,0.0,0.0,0.0,0.0
FaceForensics/FaceSwap/002_006.mp4,FaceForensics/original/002.mp4,faceswap,1,0.0829,0.0,0.0,0.0,0.0469,0.0
FaceForensics/NeuralTextures/002_006.mp4,FaceForensics/original/002.mp4,neuraltextures,1,0.0624,0.0,0.0,0.0,0.0,0.0
FaceForensics/original/003.mp4,FaceForensics/original/003.mp4,original,0,0.0,0.0,0.0,0.0,0.0,0.0
FaceForensics/Deepfakes/003_000.mp4,FaceForensics/original/003.mp4,deepfakes,1,0.0889,0.0,0.0,0.0,0.0,0.0982
FaceForensics/Face2Face/003_000.mp4,FaceForensics/original/003.mp4,face2face,1,0.0,0.0,0.0,0.0,0.0,0.0
FaceForensics/FaceShifter/003_000.mp4,FaceForensics/original/003.mp4,faceshifter,1,0.0,0.0,0.0,0.0,0.0,0.0
FaceForensics/FaceSwap/003_000.mp4,FaceForensics/original/003.mp4,faceswap,1,0.0,0.372,0.223,0.3344,0.2094,0.2014
FaceForensics/NeuralTextures/003_000.mp4,FaceForensics/original/003.mp4,neuraltextures,1,0.0,0.0,0.0,0.0,0.0,0.0
FaceForensics/original/004.mp4,FaceForensics/original/004.mp4,original,0,0.0,0.0,0.0,0.0,0.0,0.0
FaceForensics/Deepfakes/004_982.mp4,FaceForensics/original/004.mp4,deepfakes,1,0.0,0.0968,0.0,0.0,0.0,0.0
FaceForensics/Face2Face/004_982.mp4,FaceForensics/original/004.mp4,face2face,1,0.0,0.0,0.0,0.0,0.0,0.0
FaceForensics/FaceShifter/004_982.mp4,FaceForensics/original/004.mp4,faceshifter,1,0.0,0.0,0.0,0.0,0.0,0.0
FaceForensics/FaceSwap/004_982.mp4,FaceForensics/original/004.mp4,faceswap,1,0.0,0.0,0.0,0.0,0.0,0.0
FaceForensics/NeuralTextures/004_982.mp4,FaceForensics/original/004.mp4,neuraltextures,1,0.0,0.0,0.0,0.0,0.0,0.0
FaceForensics/original/005.mp4,FaceForensics/original/005.mp4,original,0,0.0,0.0,0.0,0.0,0.0,0.0
FaceForensics/Deepfakes/005_010.mp4,FaceForensics/original/005.mp4,deepfakes,1,0.0,0.044,0.0,0.0,0.0,0.0
FaceForensics/Face2Face/005_010.mp4,FaceForensics/original/005.mp4,face2face,1,0.0495,0.0,0.0,0.0,0.0,0.0
FaceForensics/FaceShifter/005_010.mp4,FaceForensics/original/005.mp4,faceshifter,1,0.0,0.0,0.0,0.0,0.0,0.0
FaceForensics/FaceSwap/005_010.mp4,FaceForensics/original/005.mp4,faceswap,1,0.1754,0.0757,0.0,0.0,0.0512,0.0
FaceForensics/NeuralTextures/005_010.mp4,FaceForensics/original/005.mp4,neuraltextures,1,0.1185,0.0,0.0438,0.0,0.0,0.0
FaceForensics/original/006.mp4,FaceForensics/original/006.mp4,original,0,0.0,0.0,0.0,0.0,0.0,0.0
FaceForensics/Deepfakes/006_002.mp4,FaceForensics/original/006.mp4,deepfakes,1,0.1388,0.0954,0.0,0.082,0.0,0.0474
